Geo_FIPS,Geo_NAME,Geo_QNAME,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005
4400951580,North Kingstown town,"North Kingstown town, Rhode Island",686,773,944,1176,1407
4400961160,Richmond town,"Richmond town, Rhode Island",686,773,944,1176,1407
4400967460,South Kingstown town,"South Kingstown town, Rhode Island",686,773,944,1176,1407
4400977000,Westerly town,"Westerly town, Rhode Island",582,724,979,1231,1541
4500199999,Abbeville County,"Abbeville County, South Carolina",452,455,608,825,1077
4500399999,Aiken County,"Aiken County, South Carolina",541,610,728,990,1226
4500599999,Allendale County,"Allendale County, South Carolina",489,492,613,763,1086
4500799999,Anderson County,"Anderson County, South Carolina",521,529,645,883,913
4500999999,Bamberg County,"Bamberg County, South Carolina",446,449,608,757,1077
4501199999,Barnwell County,"Barnwell County, South Carolina",446,449,608,857,860
4501399999,Beaufort County,"Beaufort County, South Carolina",653,793,940,1192,1440
4501599999,Berkeley County,"Berkeley County, South Carolina",759,791,940,1217,1615
4501799999,Calhoun County,"Calhoun County, South Carolina",605,656,778,1026,1301
4501999999,Charleston County,"Charleston County, South Carolina",759,791,940,1217,1615
4502199999,Cherokee County,"Cherokee County, South Carolina",491,513,608,822,1077
4502399999,Chester County,"Chester County, South Carolina",491,513,608,793,932
4502599999,Chesterfield County,"Chesterfield County, South Carolina",491,513,608,802,1001
4502799999,Clarendon County,"Clarendon County, South Carolina",446,449,608,757,1021
4502999999,Colleton County,"Colleton County, South Carolina",529,532,671,859,897
4503199999,Darlington County,"Darlington County, South Carolina",484,506,608,757,917
4503399999,Dillon County,"Dillon County, South Carolina",446,449,608,868,871
4503599999,Dorchester County,"Dorchester County, South Carolina",759,791,940,1217,1615
4503799999,Edgefield County,"Edgefield County, South Carolina",541,610,728,990,1226
4503999999,Fairfield County,"Fairfield County, South Carolina",605,656,778,1026,1301
4504199999,Florence County,"Florence County, South Carolina",497,502,624,777,834
4504399999,Georgetown County,"Georgetown County, South Carolina",522,526,711,943,1188
4504599999,Greenville County,"Greenville County, South Carolina",485,611,725,962,1139
4504799999,Greenwood County,"Greenwood County, South Carolina",515,519,674,889,930
4504999999,Hampton County,"Hampton County, South Carolina",446,449,608,765,813
4505199999,Horry County,"Horry County, South Carolina",640,644,801,998,1171
4505399999,Jasper County,"Jasper County, South Carolina",436,503,680,909,993
4505599999,Kershaw County,"Kershaw County, South Carolina",487,527,626,837,1063
4505799999,Lancaster County,"Lancaster County, South Carolina",479,482,608,837,896
4505999999,Laurens County,"Laurens County, South Carolina",575,760,966,1244,1387
4506199999,Lee County,"Lee County, South Carolina",491,513,608,896,1077
4506399999,Lexington County,"Lexington County, South Carolina",605,656,778,1026,1301
4506599999,McCormick County,"McCormick County, South Carolina",476,479,610,899,902
4506799999,Marion County,"Marion County, South Carolina",491,513,608,765,895
4506999999,Marlboro County,"Marlboro County, South Carolina",446,449,608,757,820
